Summary,Issue Type,Status,Story Points,Priority,Assignee,Description,Created,Updated,Resolution,Resolved
Homepage redesign,Task,Launch,8,High,Emma White,Complete homepage visual refresh,10/Nov/24 9:00 AM,01/Dec/24 5:00 PM,Done,01/Dec/24 5:00 PM
Brand guidelines update,Task,Launch,5,Medium,David Lee,Updated brand guidelines document,15/Nov/24 10:00 AM,03/Dec/24 3:00 PM,Done,03/Dec/24 3:00 PM
Product launch graphics,Task,Launch,3,Critical,Emma White,Launch day marketing materials,20/Nov/24 11:00 AM,05/Dec/24 4:00 PM,Done,05/Dec/24 4:00 PM
Mobile app icon set,Task,Testing,3,Medium,Frank Miller,New icon set for mobile application,28/Nov/24 9:00 AM,10/Dec/24 2:00 PM,,
Dashboard UI refresh,Task,Testing,5,High,Emma White,Updated dashboard visual design,01/Dec/24 10:00 AM,11/Dec/24 11:00 AM,,
Email template designs,Task,Design,3,Medium,David Lee,Transactional email template redesign,03/Dec/24 2:00 PM,12/Dec/24 9:00 AM,,
Settings page mockups,Task,Design,3,Low,Frank Miller,User settings page UI designs,05/Dec/24 11:00 AM,12/Dec/24 10:00 AM,,
Onboarding flow design,Task,Design,8,Critical,Emma White,STALLED - New user onboarding experience,25/Nov/24 9:00 AM,28/Nov/24 2:00 PM,,
Marketing landing page,Task,Concepting,5,High,David Lee,Product launch landing page concept,09/Dec/24 10:00 AM,11/Dec/24 3:00 PM,,
Feature announcement graphics,Task,Concepting,2,Medium,Frank Miller,Graphics for Q1 feature announcements,10/Dec/24 11:00 AM,12/Dec/24 9:00 AM,,
Investor deck refresh,Task,Concepting,5,Critical,Emma White,Updated investor presentation design,11/Dec/24 9:00 AM,12/Dec/24 2:00 PM,,
Annual report design,Task,To Do,8,High,David Lee,Annual company report visual design,11/Dec/24 10:00 AM,11/Dec/24 10:00 AM,,
Product roadmap infographic,Task,To Do,5,Medium,Frank Miller,Visual roadmap for stakeholders,12/Dec/24 9:00 AM,12/Dec/24 9:00 AM,,
Social media campaign assets,Task,To Do,3,Low,Emma White,Q1 social media visual assets,12/Dec/24 10:00 AM,12/Dec/24 10:00 AM,,
Urgent partner logo update,Task,To Do,2,Critical,David Lee,SCOPE CREEP - Partner requested logo change,12/Dec/24 11:00 AM,12/Dec/24 11:00 AM,,
